snapshot,backstop
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,6935.705993144166
2023-01-29,34.615776770306674
2023-02-05,3471.20519832105
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,5576.917396567187
2023-03-05,0.0
2023-03-12,1883.8763412154165
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,14061.330977999745
2023-11-19,11971.823000386326
2023-11-26,3040.4857250326304
2023-12-03,0.0
2023-12-10,21588.475187691467
2023-12-17,9201.57401903736
2023-12-24,712.8895616653975
2023-12-31,0.0
